timestamp,CAISO_Hydro
1/1/15,0.00674
2/1/15,0.00275
3/1/15,0.01009
4/1/15,0.01073
5/1/15,0.01015
6/1/15,0.04317
7/1/15,0.11363
8/1/15,0.08128
9/1/15,0.04248
10/1/15,0.00201
11/1/15,0.00299
12/1/15,0.00287
1/1/16,0.00453
2/1/16,0.06058
3/1/16,0.21233
4/1/16,0.21881
5/1/16,0.27645
6/1/16,0.31204
7/1/16,0.35473
8/1/16,0.25442
9/1/16,0.18721
10/1/16,0.08847
11/1/16,0.08936
12/1/16,0.15285
1/1/17,0.32582
2/1/17,0.26955
3/1/17,0.44345
4/1/17,0.42749
5/1/17,0.49418
6/1/17,0.42974
7/1/17,0.47251
8/1/17,0.40032
9/1/17,0.26089
10/1/17,0.13511
11/1/17,0.1017
12/1/17,0.10068
1/1/18,0.08709
2/1/18,0.02364
3/1/18,0.12003
4/1/18,0.30712
5/1/18,0.28651
6/1/18,0.25314
7/1/18,0.30376
8/1/18,0.26296
9/1/18,0.195
10/1/18,0.05856
11/1/18,0.02735
12/1/18,0.0719
1/1/19,0.07729
2/1/19,0.16866
3/1/19,0.4548
4/1/19,0.49716
5/1/19,0.52008
6/1/19,0.49454
7/1/19,0.49394
8/1/19,0.41209
9/1/19,0.26916
10/1/19,0.16687
11/1/19,0.09912
12/1/19,0.15911
