timestamp,CAISO_Hydro
1/1/1998, 0.48818 
2/1/1998, 0.54229 
3/1/1998, 0.57445 
4/1/1998, 0.59603 
5/1/1998, 0.62188 
6/1/1998, 0.63662 
7/1/1998, 0.71223 
8/1/1998, 0.65193 
9/1/1998, 0.59028 
10/1/1998, 0.46410 
11/1/1998, 0.48123 
12/1/1998, 0.53045 
1/1/1999, 0.47528 
2/1/1999, 0.49782 
3/1/1999, 0.52838 
4/1/1999, 0.53109 
5/1/1999, 0.56311 
6/1/1999, 0.57700 
7/1/1999, 0.60810 
8/1/1999, 0.58522 
9/1/1999, 0.50753 
10/1/1999, 0.45855 
11/1/1999, 0.44094 
12/1/1999, 0.42845 
1/1/2000, 0.41860 
2/1/2000, 0.46268 
3/1/2000, 0.56945 
4/1/2000, 0.56952 
5/1/2000, 0.60597 
6/1/2000, 0.59612 
7/1/2000, 0.63266 
8/1/2000, 0.57769 
9/1/2000, 0.50311 
10/1/2000, 0.44568 
11/1/2000, 0.45961 
12/1/2000, 0.43803 
1/1/2001, 0.41228 
2/1/2001, 0.39393 
3/1/2001, 0.44070 
4/1/2001, 0.45988 
5/1/2001, 0.52408 
6/1/2001, 0.51314 
7/1/2001, 0.53818 
8/1/2001, 0.53048 
9/1/2001, 0.45829 
10/1/2001, 0.41794 
11/1/2001, 0.40140 
12/1/2001, 0.43027 
1/1/2002, 0.47992 
2/1/2002, 0.44226 
3/1/2002, 0.49325 
4/1/2002, 0.51472 
5/1/2002, 0.55139 
6/1/2002, 0.54460 
7/1/2002, 0.56517 
8/1/2002, 0.56190 
9/1/2002, 0.50359 
10/1/2002, 0.41306 
11/1/2002, 0.42240 
12/1/2002, 0.45164 
1/1/2003, 0.47507 
2/1/2003, 0.48545 
3/1/2003, 0.49094 
4/1/2003, 0.51218 
5/1/2003, 0.61001 
6/1/2003, 0.60526 
7/1/2003, 0.64052 
8/1/2003, 0.58714 
9/1/2003, 0.52688 
10/1/2003, 0.44501 
11/1/2003, 0.43635 
12/1/2003, 0.47758 
1/1/2004, 0.50855 
2/1/2004, 0.49054 
3/1/2004, 0.56524 
4/1/2004, 0.56479 
5/1/2004, 0.54318 
6/1/2004, 0.54495 
7/1/2004, 0.59782 
8/1/2004, 0.56424 
9/1/2004, 0.48419 
10/1/2004, 0.42335 
11/1/2004, 0.44142 
12/1/2004, 0.48166 
1/1/2005, 0.47537 
2/1/2005, 0.49537 
3/1/2005, 0.52952 
4/1/2005, 0.57457 
5/1/2005, 0.65345 
6/1/2005, 0.64090 
7/1/2005, 0.70292 
8/1/2005, 0.62206 
9/1/2005, 0.54573 
10/1/2005, 0.48282 
11/1/2005, 0.46778 
12/1/2005, 0.52296 
1/1/2006, 0.61949 
2/1/2006, 0.56679 
3/1/2006, 0.65505 
4/1/2006, 0.69963 
