timestamp,BANC_Hydro
1/1/1998,0.1177
2/1/1998,0.26216
3/1/1998,0.25735
4/1/1998,0.26569
5/1/1998,0.30637
6/1/1998,0.32157
7/1/1998,0.40206
8/1/1998,0.35946
9/1/1998,0.23554
10/1/1998,0.08226
11/1/1998,0.1074
12/1/1998,0.13828
1/1/1999,0.13422
2/1/1999,0.21882
3/1/1999,0.23799
4/1/1999,0.19814
5/1/1999,0.2451
6/1/1999,0.23304
7/1/1999,0.27005
8/1/1999,0.22701
9/1/1999,0.15799
10/1/1999,0.05848
11/1/1999,0.06162
12/1/1999,0.07368
1/1/2000,0.10113
2/1/2000,0.1674
3/1/2000,0.22534
4/1/2000,0.14578
5/1/2000,0.23304
6/1/2000,0.2302
7/1/2000,0.29804
8/1/2000,0.28647
9/1/2000,0.15348
10/1/2000,0.03289
11/1/2000,0.06196
12/1/2000,0.07779
1/1/2001,0.02775
2/1/2001,0
3/1/2001,0.02191
4/1/2001,0.06569
5/1/2001,0.12716
6/1/2001,0.16446
7/1/2001,0.22623
8/1/2001,0.17495
9/1/2001,0.09814
10/1/2001,0.05152
11/1/2001,0
12/1/2001,0.0023
1/1/2002,0.07745
2/1/2002,0.02471
3/1/2002,0.05726
4/1/2002,0.09868
5/1/2002,0.17696
6/1/2002,0.1848
7/1/2002,0.25559
8/1/2002,0.19574
9/1/2002,0.12319
10/1/2002,0.07995
11/1/2002,0.03338
12/1/2002,0.05549
1/1/2003,0.14583
2/1/2003,0.12789
3/1/2003,0.06882
4/1/2003,0.09137
5/1/2003,0.29922
6/1/2003,0.25623
7/1/2003,0.27593
8/1/2003,0.21696
9/1/2003,0.14677
10/1/2003,0.09677
11/1/2003,0.05304
12/1/2003,0.06961
1/1/2004,0.08726
2/1/2004,0.09848
3/1/2004,0.19843
4/1/2004,0.1702
5/1/2004,0.15098
6/1/2004,0.21681
7/1/2004,0.28245
8/1/2004,0.2026
9/1/2004,0.15539
10/1/2004,0.11005
11/1/2004,0.00417
12/1/2004,0.01093
1/1/2005,0.04299
2/1/2005,0.06162
3/1/2005,0.09623
4/1/2005,0.1573
5/1/2005,0.31402
6/1/2005,0.31044
7/1/2005,0.30436
8/1/2005,0.23436
9/1/2005,0.15588
10/1/2005,0.10863
11/1/2005,0.07441
12/1/2005,0.14172
1/1/2006,0.3301
2/1/2006,0.26118
3/1/2006,0.34534
4/1/2006,0.37691
5/1/2006,0.42549
6/1/2006,0.37672
7/1/2006,0.34181
8/1/2006,0.30677
9/1/2006,0.215
10/1/2006,0.07436
11/1/2006,0.04711
12/1/2006,0.05191
1/1/2007,0.04897
2/1/2007,0.02902
3/1/2007,0.07951
4/1/2007,0.12123
5/1/2007,0.18873
6/1/2007,0.19255
7/1/2007,0.29436
8/1/2007,0.21912
9/1/2007,0.12221
10/1/2007,0.06515
11/1/2007,0.04779
12/1/2007,0.01196
1/1/2008,0.03436
2/1/2008,0.02118
3/1/2008,0.05201
4/1/2008,0.1423
5/1/2008,0.1876
6/1/2008,0.1625
7/1/2008,0.21525
8/1/2008,0.18804
9/1/2008,0.08039
10/1/2008,0.02755
11/1/2008,0.00407
12/1/2008,0.00716
1/1/2009,0.00074
2/1/2009,0.01588
3/1/2009,0.08387
4/1/2009,0.13299
5/1/2009,0.22868
6/1/2009,0.1723
7/1/2009,0.25319
8/1/2009,0.21946
9/1/2009,0.13971
10/1/2009,0.05917
11/1/2009,0.01039
12/1/2009,0.00412
1/1/2010,0.01471
2/1/2010,0.02892
3/1/2010,0.02701
4/1/2010,0.1201
5/1/2010,0.29093
6/1/2010,0.32995
7/1/2010,0.30368
8/1/2010,0.23402
9/1/2010,0.1652
10/1/2010,0.0951
11/1/2010,0.07912
12/1/2010,0.23539
1/1/2011,0.19226
2/1/2011,0.10985
3/1/2011,0.28167
4/1/2011,0.30853
5/1/2011,0.35025
6/1/2011,0.39966
7/1/2011,0.42471
8/1/2011,0.34152
9/1/2011,0.27245
10/1/2011,0.1873
11/1/2011,0.11363
12/1/2011,0.06348
1/1/2012,0.04824
2/1/2012,0.03951
3/1/2012,0.05907
4/1/2012,0.1327
5/1/2012,0.27294
6/1/2012,0.24137
7/1/2012,0.31902
8/1/2012,0.28956
9/1/2012,0.1775
10/1/2012,0.1125
