timestamp,PGE_Hydro
1/1/98,0.092803576
2/1/98,0.172869796
3/1/98,0.218067506
4/1/98,0.253732101
5/1/98,0.290252487
6/1/98,0.319767328
7/1/98,0.414720333
8/1/98,0.338156885
9/1/98,0.246945479
10/1/98,0.083170951
11/1/98,0.096186936
12/1/98,0.153385623
1/1/99,0.091370623
2/1/99,0.13006034
3/1/99,0.160610091
4/1/99,0.160450874
5/1/99,0.201270118
6/1/99,0.228874356
7/1/99,0.273494904
8/1/99,0.243840748
9/1/99,0.14218073
10/1/99,0.06718955
11/1/99,0.037595101
12/1/99,0.029773568
1/1/00,0.015065903
2/1/00,0.078633268
3/1/00,0.217390834
4/1/00,0.207499481
5/1/00,0.260220191
6/1/00,0.260558527
7/1/00,0.305676629
8/1/00,0.231700456
9/1/00,0.143434564
10/1/00,0.062990203
11/1/00,0.059586941
12/1/00,0.038052849
1/1/01,0.008697226
2/1/01,0
3/1/01,0.026668838
4/1/01,0.054292978
5/1/01,0.153823469
6/1/01,0.13541401
7/1/01,0.170262619
8/1/01,0.16586425
9/1/01,0.072722339
10/1/01,0.027405216
11/1/01,0
12/1/01,0.032360844
1/1/02,0.106456429
2/1/02,0.047287432
3/1/02,0.102476005
4/1/02,0.136289703
5/1/02,0.187259027
6/1/02,0.184353318
7/1/02,0.210484799
8/1/02,0.209350378
9/1/02,0.140568659
10/1/02,0.019782705
11/1/02,0.027882867
12/1/02,0.070592812
1/1/03,0.10223718
2/1/03,0.119512218
3/1/03,0.11013832
4/1/03,0.132130161
5/1/03,0.280142211
6/1/03,0.278470434
7/1/03,0.334574504
8/1/03,0.257493601
9/1/03,0.178999648
10/1/03,0.065458066
11/1/03,0.047844691
12/1/03,0.108088402
1/1/04,0.151793453
2/1/04,0.11718367
3/1/04,0.218644667
4/1/04,0.213111878
5/1/04,0.179357886
6/1/04,0.188970609
7/1/04,0.263066194
8/1/04,0.224794422
9/1/04,0.119432609
10/1/04,0.043685149
11/1/04,0.062472748
12/1/04,0.113601289
1/1/05,0.115591501
2/1/05,0.147295574
3/1/05,0.192712208
4/1/05,0.226884144
5/1/05,0.342794079
6/1/05,0.330136332
7/1/05,0.411675309
8/1/05,0.305198978
9/1/05,0.204315142
10/1/05,0.115054144
11/1/05,0.079011408
12/1/05,0.178601606
1/1/06,0.314075322
2/1/06,0.236516769
3/1/06,0.353222788
4/1/06,0.409784607
5/1/06,0.455141534
6/1/06,0.39129554
7/1/06,0.430044963
8/1/06,0.314552973
9/1/06,0.18644304
10/1/06,0.121402919
11/1/06,0.126915806
12/1/06,0.146738315
1/1/07,0.087071766
2/1/07,0.054273075
3/1/07,0.112208141
4/1/07,0.085778128
5/1/07,0.168849568
6/1/07,0.128388563
7/1/07,0.24883618
8/1/07,0.196672729
9/1/07,0.11811907
10/1/07,0.051506681
11/1/07,0.052203255
12/1/07,0.030092002
1/1/08,0.022290372
2/1/08,0
3/1/08,0.004358564
4/1/08,0.14998236
5/1/08,0.203996708
6/1/08,0.14819117
7/1/08,0.284580384
8/1/08,0.314154931
9/1/08,0.071169974
10/1/08,0
11/1/08,0
12/1/08,0
1/1/09,0
2/1/09,0.032480256
3/1/09,0.125323636
4/1/09,0.166580727
5/1/09,0.28163487
6/1/09,0.261832263
7/1/09,0.353421809
8/1/09,0.241930145
9/1/09,0.139255119
10/1/09,0.064005211
11/1/09,0
12/1/09,0.005274061
1/1/10,0.015682869
2/1/10,0.029136701
3/1/10,0.121681549
4/1/10,0.15674908
5/1/10,0.295765374
6/1/10,0.353262593
7/1/10,0.417128489
8/1/10,0.329041715
9/1/10,0.198861962
10/1/10,0.082613691
11/1/10,0.104784651
12/1/10,0.215699154
1/1/11,0.245253799
2/1/11,0.145902426
3/1/11,0.296919697
4/1/11,0.402062586
5/1/11,0.469570569
6/1/11,0.422362746
7/1/11,0.504319667
8/1/11,0.377702393
9/1/11,0.263225411
10/1/11,0.102456103
11/1/11,0.082872419
12/1/11,0.072762143
1/1/12,0.010488416
2/1/12,0
3/1/12,0.044720059
4/1/12,0.12526393
5/1/12,0.269613991
6/1/12,0.213211389
7/1/12,0.269972229
8/1/12,0.226406493
9/1/12,0.185189207
10/1/12,0.08307144
11/1/12,0.04595399
12/1/12,0.078354638
1/1/13,0.071030659
2/1/13,0.050352358
3/1/13,0.08711157
4/1/13,0.137463928
5/1/13,0.173864902
6/1/13,0.182363106
7/1/13,0.266767988
8/1/13,0.190443366
9/1/13,0.098973232
10/1/13,0.024599018
11/1/13,0
