timestamp,SCE_Hydro
1/1/98,0.572339165
2/1/98,0.605747502
3/1/98,0.631093863
4/1/98,0.635735606
5/1/98,0.655707318
6/1/98,0.64685136
7/1/98,0.732967913
8/1/98,0.666212316
9/1/98,0.628162236
10/1/98,0.496910836
11/1/98,0.536182427
12/1/98,0.603060176
1/1/99,0.523295482
2/1/99,0.524639145
3/1/99,0.577713815
4/1/99,0.589196022
5/1/99,0.624192324
6/1/99,0.6162525
7/1/99,0.638728309
8/1/99,0.614847761
9/1/99,0.53587705
10/1/99,0.511568973
11/1/99,0.509003799
12/1/99,0.47645052
1/1/00,0.470648341
2/1/00,0.501674731
3/1/00,0.612343663
4/1/00,0.635735606
5/1/00,0.661020892
6/1/00,0.620161336
7/1/00,0.663586066
8/1/00,0.61252689
9/1/00,0.514989205
10/1/00,0.469060376
11/1/00,0.533617254
12/1/00,0.496055778
1/1/01,0.459837965
2/1/01,0.458311076
3/1/01,0.533495102
4/1/01,0.547114954
5/1/01,0.57612585
6/1/01,0.574537885
7/1/01,0.595120352
8/1/01,0.574049281
9/1/01,0.497643743
10/1/01,0.439194423
11/1/01,0.44640134
12/1/01,0.477794183
1/1/02,0.50692723
2/1/02,0.491719413
3/1/02,0.570445822
4/1/02,0.578874251
5/1/02,0.609167733
6/1/02,0.588340964
7/1/02,0.611061076
8/1/02,0.600372851
9/1/02,0.523661936
10/1/02,0.437117853
11/1/02,0.456234507
12/1/02,0.475534387
1/1/03,0.497032987
2/1/03,0.49892633
3/1/03,0.543145042
4/1/03,0.578263495
5/1/03,0.630971712
6/1/03,0.615580668
7/1/03,0.628162236
8/1/03,0.590845062
9/1/03,0.528731208
10/1/03,0.460509796
11/1/03,0.466373051
12/1/03,0.49355168
1/1/04,0.517615454
2/1/04,0.525066674
3/1/04,0.592310876
4/1/04,0.603365554
5/1/04,0.594204219
6/1/04,0.578996402
7/1/04,0.621260696
8/1/04,0.573866054
9/1/04,0.493979209
10/1/04,0.423192623
11/1/04,0.45287535
12/1/04,0.497338365
1/1/05,0.467105958
2/1/05,0.474496102
3/1/05,0.50747691
4/1/05,0.611000001
5/1/05,0.661570572
6/1/05,0.640010896
7/1/05,0.702124751
8/1/05,0.621566074
9/1/05,0.546382048
10/1/05,0.498682028
11/1/05,0.521524291
12/1/05,0.513706618
1/1/06,0.590417533
2/1/06,0.556948121
3/1/06,0.643797582
4/1/06,0.693207718
5/1/06,0.725150241
6/1/06,0.688321672
7/1/06,0.708415534
8/1/06,0.627612556
9/1/06,0.539114055
10/1/06,0.491230808
11/1/06,0.535693823
12/1/06,0.512790484
1/1/07,0.489337465
2/1/07,0.474557178
3/1/07,0.548153239
4/1/07,0.551573471
5/1/07,0.579362855
6/1/07,0.549130448
7/1/07,0.615947122
8/1/07,0.568430328
9/1/07,0.50747691
10/1/07,0.456906338
11/1/07,0.459043983
12/1/07,0.435102359
1/1/08,0.460998401
2/1/08,0.444691224
3/1/08,0.503445922
4/1/08,0.59267733
5/1/08,0.603060176
6/1/08,0.556459517
7/1/08,0.622848661
8/1/08,0.627307178
9/1/08,0.486222611
10/1/08,0.407496202
11/1/08,0.415802479
12/1/08,0.388868153
1/1/09,0.454829768
2/1/09,0.466006598
3/1/09,0.563238905
4/1/09,0.602938025
5/1/09,0.627246102
6/1/09,0.58522611
7/1/09,0.65167633
8/1/09,0.591211516
9/1/09,0.506866154
10/1/09,0.471869852
11/1/09,0.446340264
12/1/09,0.44805038
1/1/10,0.454463315
2/1/10,0.427467913
3/1/10,0.543083967
4/1/10,0.565804079
5/1/10,0.635918833
6/1/10,0.668044583
7/1/10,0.697238705
8/1/10,0.637445722
9/1/10,0.563788585
10/1/10,0.484695722
11/1/10,0.513767693
12/1/10,0.551023791
1/1/11,0.550962715
2/1/11,0.518470512
3/1/11,0.646545982
4/1/11,0.708720912
5/1/11,0.724661636
6/1/11,0.697971612
7/1/11,0.758741804
8/1/11,0.672136646
9/1/11,0.592188725
10/1/11,0.473885346
11/1/11,0.484023891
12/1/11,0.467838865
1/1/12,0.477916334
2/1/12,0.474068573
3/1/12,0.53807577
4/1/12,0.60562535
5/1/12,0.647278889
6/1/12,0.614969913
7/1/12,0.626879649
8/1/12,0.598662735
9/1/12,0.551695622
10/1/12,0.452142443
11/1/12,0.483474211
12/1/12,0.470770492
1/1/13,0.491780488
2/1/13,0.487993803
3/1/13,0.561528789
4/1/13,0.601594363
5/1/13,0.601411136
6/1/13,0.593165934
7/1/13,0.626574271
8/1/13,0.580706518
9/1/13,0.503506998
10/1/13,0.484023891
11/1/13,0.433270092
12/1/13,0.429788785
1/1/14,0.435102359
2/1/14,0.444263695
3/1/14,0.517737605
4/1/14,0.548519693
5/1/14,0.587302679
6/1/14,0.56592623
7/1/14,0.579607158
8/1/14,0.514439525
9/1/14,0.477672032
10/1/14,0.415985706
11/1/14,0.440965614
12/1/14,0.423742303
1/1/15,0.473763195
2/1/15,0.438339365
3/1/15,0.506072172
4/1/15,0.512912635
5/1/15,0.494040284
6/1/15,0.509614555
7/1/15,0.537342863
8/1/15,0.525921732
9/1/15,0.492818773
10/1/15,0.429422331
11/1/15,0.420444223
12/1/15,0.437484307
1/1/16,0.464357557
2/1/16,0.501186126
3/1/16,0.629383747
4/1/16,0.637140344
5/1/16,0.641110256
6/1/16,0.662364555
7/1/16,0.675068273
8/1/16,0.603487705
9/1/16,0.568186026
10/1/16,0.4850011
11/1/16,0.521646442
12/1/16,0.523845162
1/1/17,0.612099361
2/1/17,0.581439425
3/1/17,0.740419133
4/1/17,0.739258697
5/1/17,0.766803779
6/1/17,0.722585067
7/1/17,0.751718113
8/1/17,0.681297981
9/1/17,0.595120352
10/1/17,0.524822372
11/1/17,0.529891644
12/1/17,0.50912595
1/1/18,0.48072581
2/1/18,0.48610046
3/1/18,0.560795882
4/1/18,0.689054579
5/1/18,0.680381848
6/1/18,0.649355458
7/1/18,0.653142144
8/1/18,0.620955318
9/1/18,0.581256198
10/1/18,0.493857058
11/1/18,0.484512495
12/1/18,0.473824271
1/1/19,0.480115054
2/1/19,0.554505098
3/1/19,0.726799281
4/1/19,0.777797382
5/1/19,0.79477639
6/1/19,0.773766394
7/1/19,0.780973311
8/1/19,0.713240504
9/1/19,0.618145842
10/1/19,0.551634547
11/1/19,0.50747691
12/1/19,0.480237206
1/1/20,0.489948221
2/1/20,0.479015694
3/1/20,0.476694822
4/1/20,0.576370152
5/1/20,0.675862256
6/1/20,0.63127709
7/1/20,0.626574271
8/1/20,0.620955318
9/1/20,0.518348361
10/1/20,0.520730308
11/1/20,0.488848861
12/1/20,0.439255498
