timestamp,SW_Hydro
1/1/1998,0.427296
2/1/1998,0.443646
3/1/1998,0.424138
4/1/1998,0.334406
5/1/1998,0.360875
6/1/1998,0.405725
7/1/1998,0.482521
8/1/1998,0.468422
9/1/1998,0.410076
10/1/1998,0.311482
11/1/1998,0.325786
12/1/1998,0.378067
1/1/1999,0.31315
2/1/1999,0.301645
3/1/1999,0.318295
4/1/1999,0.322966
5/1/1999,0.403636
6/1/1999,0.39656
7/1/1999,0.42063
8/1/1999,0.39395
9/1/1999,0.416591
10/1/1999,0.376441
11/1/1999,0.36983
12/1/1999,0.31617
1/1/2000,0.275909
2/1/2000,0.276276
3/1/2000,0.286766
4/1/2000,0.379915
5/1/2000,0.42897
6/1/2000,0.266488
7/1/2000,0.292898
8/1/2000,0.269338
9/1/2000,0.273143
10/1/2000,0.230557
11/1/2000,0.304157
12/1/2000,0.287096
1/1/2001,0.272897
2/1/2001,0.274735
3/1/2001,0.299691
4/1/2001,0.298717
5/1/2001,0.286286
6/1/2001,0.294757
7/1/2001,0.345073
8/1/2001,0.324348
9/1/2001,0.228709
10/1/2001,0.212768
11/1/2001,0.220173
12/1/2001,0.260787
1/1/2002,0.266842
2/1/2002,0.263293
3/1/2002,0.285126
4/1/2002,0.299375
5/1/2002,0.281235
6/1/2002,0.321412
7/1/2002,0.350723
8/1/2002,0.332497
9/1/2002,0.217797
10/1/2002,0.180063
11/1/2002,0.183454
12/1/2002,0.198534
1/1/2003,0.244246
2/1/2003,0.247776
3/1/2003,0.293664
4/1/2003,0.286668
5/1/2003,0.269031
6/1/2003,0.310196
7/1/2003,0.30528
8/1/2003,0.298526
9/1/2003,0.199991
10/1/2003,0.182082
11/1/2003,0.177472
12/1/2003,0.193557
1/1/2004,0.234456
2/1/2004,0.271655
3/1/2004,0.288693
4/1/2004,0.278976
5/1/2004,0.266138
6/1/2004,0.303534
7/1/2004,0.318142
8/1/2004,0.286797
9/1/2004,0.190329
10/1/2004,0.148758
11/1/2004,0.18361
12/1/2004,0.181544
1/1/2005,0.190179
2/1/2005,0.191979
3/1/2005,0.215818
4/1/2005,0.245732
5/1/2005,0.256201
6/1/2005,0.29637
7/1/2005,0.328245
8/1/2005,0.296826
9/1/2005,0.213988
10/1/2005,0.192121
11/1/2005,0.214253
12/1/2005,0.22474
1/1/2006,0.242917
2/1/2006,0.273122
3/1/2006,0.239
4/1/2006,0.274517
5/1/2006,0.276086
6/1/2006,0.32742
7/1/2006,0.323558
8/1/2006,0.297176
9/1/2006,0.223245
10/1/2006,0.210417
11/1/2006,0.221442
12/1/2006,0.240362
1/1/2007,0.246941
2/1/2007,0.240216
3/1/2007,0.261176
4/1/2007,0.288222
5/1/2007,0.273252
6/1/2007,0.320509
7/1/2007,0.319724
8/1/2007,0.295514
9/1/2007,0.24435
10/1/2007,0.205683
11/1/2007,0.204492
12/1/2007,0.222842
1/1/2008,0.250682
2/1/2008,0.240089
3/1/2008,0.285397
4/1/2008,0.314776
5/1/2008,0.320516
6/1/2008,0.322494
7/1/2008,0.342519
8/1/2008,0.336523
9/1/2008,0.274173
10/1/2008,0.238255
11/1/2008,0.220881
12/1/2008,0.227664
1/1/2009,0.27795
2/1/2009,0.251977
3/1/2009,0.295324
4/1/2009,0.314248
5/1/2009,0.272
6/1/2009,0.277664
7/1/2009,0.320259
8/1/2009,0.31382
9/1/2009,0.252082
10/1/2009,0.23146
11/1/2009,0.252029
12/1/2009,0.28464
1/1/2010,0.280717
2/1/2010,0.228481
3/1/2010,0.277777
4/1/2010,0.286041
5/1/2010,0.282275
6/1/2010,0.294497
7/1/2010,0.341315
8/1/2010,0.32365
9/1/2010,0.248225
10/1/2010,0.219024
11/1/2010,0.299414
12/1/2010,0.278538
1/1/2011,0.303186
2/1/2011,0.339829
3/1/2011,0.381853
4/1/2011,0.389681
5/1/2011,0.413588
6/1/2011,0.48721
7/1/2011,0.530407
8/1/2011,0.506154
9/1/2011,0.358386
10/1/2011,0.308965
